# Cross-Framework Mapping TISAX (VDA ISA 6.0.4) <-> ISO/IEC 27001:2022
# License: CC-BY 4.0
# Source: VDA ISA 6.0.4 catalogue cross-references to ISO 27001:2022 (April 2024 release).
# Curator: Senior-GRC-Consultant (rewritten 2026-04-17 for loader-native IDs).
# IDs follow the TISAX loader domain-prefix convention (ACC/BCM/CMP/COM/CRY/DEV/HRS/INC/INF/OPS/PHY/SUP).
# Columns: see fixtures/mappings/README.md
#
source_framework,source_requirement_id,target_framework,target_requirement_id,mapping_percentage,mapping_type,confidence,bidirectional,rationale,source_catalog,validated_at,validated_by,provenance_url
TISAX,INF-1.1,ISO27001,A.5.1,95,full,high,true,Information security policy — direct equivalent to A.5.1.,vda_isa_6.0.3_iso_crosswalk,2026-04-17,Senior-GRC-Consultant,https://www.enx.com/en-US/TISAX/
TISAX,INF-1.2,ISO27001,A.5.1,90,partial,high,false,Review of the information security policy — A.5.1 mandates planned-interval review.,vda_isa_6.0.3_iso_crosswalk,2026-04-17,Senior-GRC-Consultant,https://www.enx.com/en-US/TISAX/
TISAX,INF-2.1,ISO27001,A.5.2,90,partial,high,true,Management responsibility for information security — A.5.2 roles and responsibilities.,vda_isa_6.0.3_iso_crosswalk,2026-04-17,Senior-GRC-Consultant,https://www.enx.com/en-US/TISAX/
TISAX,INF-3.1,ISO27001,A.5.9,95,full,high,true,Inventory of assets — A.5.9 inventory of information and associated assets.,vda_isa_6.0.3_iso_crosswalk,2026-04-17,Senior-GRC-Consultant,https://www.enx.com/en-US/TISAX/
TISAX,INF-3.2,ISO27001,A.5.9,85,partial,high,false,Ownership of assets — owner documented per A.5.9.,vda_isa_6.0.3_iso_crosswalk,2026-04-17,Senior-GRC-Consultant,https://www.enx.com/en-US/TISAX/
TISAX,INF-3.3,ISO27001,A.5.10,90,partial,high,true,Acceptable use of assets — direct A.5.10.,vda_isa_6.0.3_iso_crosswalk,2026-04-17,Senior-GRC-Consultant,https://www.enx.com/en-US/TISAX/
TISAX,INF-3.4,ISO27001,A.5.11,90,partial,high,true,Return of assets — direct A.5.11.,vda_isa_6.0.3_iso_crosswalk,2026-04-17,Senior-GRC-Consultant,https://www.enx.com/en-US/TISAX/
TISAX,INF-4.1,ISO27001,A.5.12,95,full,high,true,Classification guidelines — A.5.12.,vda_isa_6.0.3_iso_crosswalk,2026-04-17,Senior-GRC-Consultant,https://www.enx.com/en-US/TISAX/
TISAX,INF-4.2,ISO27001,A.5.13,95,full,high,true,Labelling of information — A.5.13.,vda_isa_6.0.3_iso_crosswalk,2026-04-17,Senior-GRC-Consultant,https://www.enx.com/en-US/TISAX/
TISAX,INF-5.1,ISO27001,6.1.2,90,partial,high,true,Information security risk assessment — Clause 6.1.2.,vda_isa_6.0.3_iso_crosswalk,2026-04-17,Senior-GRC-Consultant,https://www.enx.com/en-US/TISAX/
TISAX,INF-5.2,ISO27001,6.1.3,90,partial,high,true,Information security risk treatment — Clause 6.1.3.,vda_isa_6.0.3_iso_crosswalk,2026-04-17,Senior-GRC-Consultant,https://www.enx.com/en-US/TISAX/
TISAX,HRS-1.1,ISO27001,A.6.1,95,full,high,true,Screening — A.6.1.,vda_isa_6.0.3_iso_crosswalk,2026-04-17,Senior-GRC-Consultant,https://www.enx.com/en-US/TISAX/
TISAX,HRS-1.2,ISO27001,A.6.2,95,full,high,true,Terms and conditions of employment — A.6.2.,vda_isa_6.0.3_iso_crosswalk,2026-04-17,Senior-GRC-Consultant,https://www.enx.com/en-US/TISAX/
TISAX,HRS-2.2,ISO27001,A.6.3,95,full,high,true,"Information security awareness, education and training — A.6.3.",vda_isa_6.0.3_iso_crosswalk,2026-04-17,Senior-GRC-Consultant,https://www.enx.com/en-US/TISAX/
TISAX,HRS-2.3,ISO27001,A.6.4,85,partial,high,true,Disciplinary process — A.6.4.,vda_isa_6.0.3_iso_crosswalk,2026-04-17,Senior-GRC-Consultant,https://www.enx.com/en-US/TISAX/
TISAX,HRS-3.1,ISO27001,A.6.5,90,partial,high,true,Termination responsibilities — A.6.5.,vda_isa_6.0.3_iso_crosswalk,2026-04-17,Senior-GRC-Consultant,https://www.enx.com/en-US/TISAX/
