# Cross-Framework Mapping GDPR (2016/679) <-> ISO/IEC 27701:2019
# License: CC-BY 4.0
# Source: ISO 27701:2019 Annex D normative mapping to GDPR.
# Curator: Senior-GRC-Consultant (rewritten 2026-04-17 for loader-native IDs).
#
source_framework,source_requirement_id,target_framework,target_requirement_id,mapping_percentage,mapping_type,confidence,bidirectional,rationale,source_catalog,validated_at,validated_by,provenance_url
GDPR,GDPR-5.1.a,ISO27701,27701-A.7.2.1,90,partial,high,true,"Lawfulness, fairness and transparency — Identify and document purpose.",iso_27701_2019_annex_d,2026-04-17,Senior-GRC-Consultant,https://eur-lex.europa.eu/eli/reg/2016/679/oj
GDPR,GDPR-5.1.b,ISO27701,27701-A.7.2.1,90,partial,high,false,Purpose limitation — Purpose specification and limitation (27701 A.7.2.1 v2025 alias).,iso_27701_2019_annex_d,2026-04-17,Senior-GRC-Consultant,https://eur-lex.europa.eu/eli/reg/2016/679/oj
GDPR,GDPR-5.1.c,ISO27701,27701-A.7.4.4,85,partial,high,true,GDPR Art.5(1)(c) (Datenminimierung) auf A.7.4.4 'PII minimization objectives' korrigiert (war A.7.4.5 'de-identification/deletion'). Audit 2026-05-30.,audit_2026_05_30_retargeted,2026-04-17,Senior-GRC-Consultant,https://eur-lex.europa.eu/eli/reg/2016/679/oj
GDPR,GDPR-5.1.e,ISO27701,27701-A.7.4.7,95,full,high,true,Storage limitation — Retention.,iso_27701_2019_annex_d,2026-04-17,Senior-GRC-Consultant,https://eur-lex.europa.eu/eli/reg/2016/679/oj
GDPR,GDPR-6,ISO27701,27701-A.7.2.2,95,full,high,true,Lawfulness of processing — Identify lawful basis.,iso_27701_2019_annex_d,2026-04-17,Senior-GRC-Consultant,https://eur-lex.europa.eu/eli/reg/2016/679/oj
GDPR,GDPR-9,ISO27701,27701-A.7.2.2,80,partial,high,false,Special categories — extension of lawful basis analysis.,iso_27701_2019_annex_d,2026-04-17,Senior-GRC-Consultant,https://eur-lex.europa.eu/eli/reg/2016/679/oj
GDPR,GDPR-12,ISO27701,27701-A.7.3.2,90,partial,high,true,Transparent information — Privacy notices.,iso_27701_2019_annex_d,2026-04-17,Senior-GRC-Consultant,https://eur-lex.europa.eu/eli/reg/2016/679/oj
GDPR,GDPR-13,ISO27701,27701-A.7.3.3,95,full,high,true,Information when data is collected — Obligation to inform.,iso_27701_2019_annex_d,2026-04-17,Senior-GRC-Consultant,https://eur-lex.europa.eu/eli/reg/2016/679/oj
GDPR,GDPR-14,ISO27701,27701-A.7.3.3,95,full,high,false,Information where data not collected from data subject.,iso_27701_2019_annex_d,2026-04-17,Senior-GRC-Consultant,https://eur-lex.europa.eu/eli/reg/2016/679/oj
GDPR,GDPR-15,ISO27701,27701-A.7.3.6,80,partial,high,true,"GDPR Art.15 (Auskunftsrecht) auf ISO/IEC 27701:2019 A.7.3.6 'Access, correction and/or erasure' korrigiert (war faelschlich A.7.4.1 'Limit collection'). EU-Mapping-Audit 2026-05-30, re-targeted.",audit_2026_05_30_retargeted,2026-04-17,Senior-GRC-Consultant,https://eur-lex.europa.eu/eli/reg/2016/679/oj
GDPR,GDPR-16,ISO27701,27701-A.7.3.6,80,partial,high,true,"GDPR Art.16 (Berichtigung) auf A.7.3.6 'Access, correction and/or erasure' korrigiert (war A.7.4.2 'Limit processing'). Audit 2026-05-30.",audit_2026_05_30_retargeted,2026-04-17,Senior-GRC-Consultant,https://eur-lex.europa.eu/eli/reg/2016/679/oj
GDPR,GDPR-17,ISO27701,27701-A.7.3.6,80,partial,high,true,"GDPR Art.17 (Loeschung) auf A.7.3.6 'Access, correction and/or erasure' korrigiert (war A.7.4.3 'Accuracy/quality'). Audit 2026-05-30.",audit_2026_05_30_retargeted,2026-04-17,Senior-GRC-Consultant,https://eur-lex.europa.eu/eli/reg/2016/679/oj
GDPR,GDPR-18,ISO27701,27701-A.7.3.9,60,partial,high,true,"GDPR Art.18 (Einschraenkung) auf A.7.3.9 'Handling requests' korrigiert (war A.7.4.4); kein dediziertes Restriction-Control in 27701:2019, ueber Request-Handling abgedeckt. Audit 2026-05-30.",audit_2026_05_30_retargeted,2026-04-17,Senior-GRC-Consultant,https://eur-lex.europa.eu/eli/reg/2016/679/oj
GDPR,GDPR-20,ISO27701,27701-A.7.3.8,85,partial,high,true,GDPR Art.20 (Datenuebertragbarkeit) auf A.7.3.8 'Providing copy of PII processed' korrigiert (war A.7.4.5 'de-identification'). Audit 2026-05-30.,audit_2026_05_30_retargeted,2026-04-17,Senior-GRC-Consultant,https://eur-lex.europa.eu/eli/reg/2016/679/oj
GDPR,GDPR-21,ISO27701,27701-A.7.3.5,90,partial,high,true,Right to object — Provide mechanism to object.,iso_27701_2019_annex_d,2026-04-17,Senior-GRC-Consultant,https://eur-lex.europa.eu/eli/reg/2016/679/oj
