# Cross-Framework Mapping ISO 22301:2019 <-> ISO/IEC 27001:2022
# License: CC-BY 4.0
# Source: ISO 22301:2019 correspondence tables + ISO 27002:2022 guidance on A.5.29/A.5.30.
# Curator: Senior-GRC-Consultant (2026-04-17)
# Columns: see fixtures/mappings/README.md
#
source_framework,source_requirement_id,target_framework,target_requirement_id,mapping_percentage,mapping_type,confidence,bidirectional,rationale,source_catalog,validated_at,validated_by,provenance_url
ISO-22301,4.1,ISO27001,4.1,95,full,high,true,Context of the organization — identical Annex SL clause.,iso_22301_2019_cross_ref,2026-04-17,Senior-GRC-Consultant,https://www.iso.org/standard/75106.html
ISO-22301,4.2,ISO27001,4.2,95,full,high,true,Interested parties — Annex SL harmonised.,iso_22301_2019_cross_ref,2026-04-17,Senior-GRC-Consultant,https://www.iso.org/standard/75106.html
ISO-22301,4.3,ISO27001,4.3,95,full,high,true,Scope of the BCMS — Annex SL harmonised.,iso_22301_2019_cross_ref,2026-04-17,Senior-GRC-Consultant,https://www.iso.org/standard/75106.html
ISO-22301,5.1,ISO27001,5.1,95,full,high,true,Leadership and commitment — Annex SL identical.,iso_22301_2019_cross_ref,2026-04-17,Senior-GRC-Consultant,https://www.iso.org/standard/75106.html
ISO-22301,6.1,ISO27001,6.1,90,partial,high,true,"Actions to address risks and opportunities — BCMS focuses on disruption risk, 27001 on information security risk; conceptually aligned.",iso_22301_2019_cross_ref,2026-04-17,Senior-GRC-Consultant,https://www.iso.org/standard/75106.html
ISO-22301,8.2,ISO27001,A.5.30,85,partial,high,true,Business impact analysis and risk assessment — A.5.30 ICT readiness for business continuity operationalises BIA on ICT side.,iso_22301_2019_cross_ref,2026-04-17,Senior-GRC-Consultant,https://www.iso.org/standard/75106.html
ISO-22301,8.3,ISO27001,A.5.29,80,partial,high,true,Business continuity strategies and solutions — A.5.29 information security during disruption is the ISO 27001 anchor.,iso_22301_2019_cross_ref,2026-04-17,Senior-GRC-Consultant,https://www.iso.org/standard/75106.html
ISO-22301,8.4,ISO27001,A.5.29,85,partial,high,true,Business continuity plans and procedures — direct link to A.5.29.,iso_22301_2019_cross_ref,2026-04-17,Senior-GRC-Consultant,https://www.iso.org/standard/75106.html
ISO-22301,8.4.2,ISO27001,A.5.24,75,partial,high,false,Incident response structure — overlaps with A.5.24 incident planning and preparation.,iso_22301_2019_cross_ref,2026-04-17,Senior-GRC-Consultant,https://www.iso.org/standard/75106.html
ISO-22301,8.4.3,ISO27001,A.8.13,85,partial,high,true,Warning and communication — backup and recovery capability supports communications infrastructure during disruption; A.5.14 information transfer is joint anchor.,iso_22301_2019_cross_ref,2026-04-17,Senior-GRC-Consultant,https://www.iso.org/standard/75106.html
ISO-22301,8.4.4,ISO27001,A.5.29,95,full,high,true,Business continuity plans — direct 1:1 mapping to A.5.29 detailed plan requirement.,iso_22301_2019_cross_ref,2026-04-17,Senior-GRC-Consultant,https://www.iso.org/standard/75106.html
ISO-22301,8.5,ISO27001,A.5.29,80,partial,high,false,Exercise programme — ISO 27001 A.5.29 explicitly requires planning and exercising of ISMS disruption response.,iso_22301_2019_cross_ref,2026-04-17,Senior-GRC-Consultant,https://www.iso.org/standard/75106.html
ISO-22301,8.6,ISO27001,9.1,85,partial,high,false,Evaluation of business continuity documentation and capabilities — Clause 9.1 measurement umbrella in 27001.,iso_22301_2019_cross_ref,2026-04-17,Senior-GRC-Consultant,https://www.iso.org/standard/75106.html
ISO-22301,9.1,ISO27001,9.1,95,full,high,true,"Monitoring, measurement, analysis, evaluation — Annex SL identical.",iso_22301_2019_cross_ref,2026-04-17,Senior-GRC-Consultant,https://www.iso.org/standard/75106.html
ISO-22301,9.2,ISO27001,9.2,95,full,high,true,Internal audit — Annex SL identical.,iso_22301_2019_cross_ref,2026-04-17,Senior-GRC-Consultant,https://www.iso.org/standard/75106.html
ISO-22301,9.3,ISO27001,9.3,95,full,high,true,Management review — Annex SL identical.,iso_22301_2019_cross_ref,2026-04-17,Senior-GRC-Consultant,https://www.iso.org/standard/75106.html
ISO-22301,10.1,ISO27001,10.1,95,full,high,true,Nonconformity and corrective action — Annex SL identical.,iso_22301_2019_cross_ref,2026-04-17,Senior-GRC-Consultant,https://www.iso.org/standard/75106.html
ISO-22301,10.2,ISO27001,10.2,95,full,high,true,Continual improvement — Annex SL identical.,iso_22301_2019_cross_ref,2026-04-17,Senior-GRC-Consultant,https://www.iso.org/standard/75106.html
ISO-22301,8.4.5,ISO27001,A.8.14,80,partial,high,true,Recovery — A.8.14 redundancy of processing facilities.,iso_22301_2019_cross_ref,2026-04-17,Senior-GRC-Consultant,https://www.iso.org/standard/75106.html
ISO-22301,8.4.5,ISO27001,A.8.13,85,partial,high,false,Recovery relies on A.8.13 backup as technical baseline.,iso_22301_2019_cross_ref,2026-04-17,Senior-GRC-Consultant,https://www.iso.org/standard/75106.html
